"Reporting Area","Current MMWR Year","MMWR WEEK","Label","Current week","Current week, flag","Previous 52 week Max","Previous 52 weeks Max, flag","Cumulative YTD Current MMWR Year","Cumulative YTD Current MMWR Year, flag","Cumulative YTD Previous MMWR Year","Cumulative YTD Previous MMWR Year, flag","LOCATION1","LOCATION2","sort_order","geocode"
"CALIFORNIA","2022","22","Coccidioidomycosis","15","-","227","-","2,052","-","3,481","-","CALIFORNIA",,"20222201459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","22","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222204049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","22","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222204119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","22","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","20","-","106","-","902","-","867","-","CALIFORNIA",,"20222205659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","23","Campylobacteriosis","175","-","252","-","3,452","-","2,910","-","CALIFORNIA",,"20222301039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","23","Coccidioidomycosis","60","-","229","-","2,333","-","3,638","-","CALIFORNIA",,"20222301459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","23","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222304049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","23","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222304119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","23","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","16","-","106","-","969","-","939","-","CALIFORNIA",,"20222305659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","24","Campylobacteriosis","160","-","252","-","3,656","-","3,158","-","CALIFORNIA",,"20222401039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","24","Coccidioidomycosis","37","-","228","-","2,522","-","3,810","-","CALIFORNIA",,"20222401459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","24","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222404049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","24","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222404119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","24","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","14","-","106","-","1,034","-","1,031","-","CALIFORNIA",,"20222405659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","25","Campylobacteriosis","164","-","252","-","3,852","-","3,370","-","CALIFORNIA",,"20222501039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","25","Coccidioidomycosis","44","-","227","-","2,665","-","3,974","-","CALIFORNIA",,"20222501459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","25","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222504049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","25","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222504119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","25","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","22","-","106","-","1,111","-","1,112","-","CALIFORNIA",,"20222505659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","26","Campylobacteriosis","145","-","252","-","4,052","-","3,600","-","CALIFORNIA",,"20222601039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","26","Coccidioidomycosis","34","-","227","-","2,804","-","4,128","-","CALIFORNIA",,"20222601459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","26","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222604049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","26","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222604119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","26","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","13","-","106","-","1,161","-","1,218","-","CALIFORNIA",,"20222605659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","27","Campylobacteriosis","47","-","252","-","4,151","-","3,852","-","CALIFORNIA",,"20222701039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","27","Coccidioidomycosis","10","-","227","-","2,928","-","4,294","-","CALIFORNIA",,"20222701459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","27","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222704049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","27","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222704119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","27","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","13","-","100","-","1,245","-","1,311","-","CALIFORNIA",,"20222705659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","28","Campylobacteriosis","157","-","238","-","4,439","-","4,045","-","CALIFORNIA",,"20222801039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","28","Coccidioidomycosis","23","-","228","-","3,139","-","4,466","-","CALIFORNIA",,"20222801459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","28","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222804049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","28","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222804119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","28","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","24","-","100","-","1,343","-","1,390","-","CALIFORNIA",,"20222805659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","29","Campylobacteriosis","126","-","238","-","4,610","-","4,261","-","CALIFORNIA",,"20222901039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","29","Coccidioidomycosis","37","-","230","-","3,278","-","4,638","-","CALIFORNIA",,"20222901459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","29","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222904049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","29","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222904119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","29","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","17","-","100","-","1,422","-","1,471","-","CALIFORNIA",,"20222905659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","30","Campylobacteriosis","139","-","238","-","4,779","-","4,445","-","CALIFORNIA",,"20223001039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","30","Coccidioidomycosis","26","-","229","-","3,407","-","4,814","-","CALIFORNIA",,"20223001459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","30","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20223004049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","30","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20223004119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","30","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","24","-","100","-","1,499","-","1,544","-","CALIFORNIA",,"20223005659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","31","Campylobacteriosis","167","-","237","-","5,012","-","4,616","-","CALIFORNIA",,"20223101039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","31","Coccidioidomycosis","64","-","229","-","3,771","-","4,993","-","CALIFORNIA",,"20223101459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","31","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20223104049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","31","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20223104119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","31","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","45","-","100","-","1,617","-","1,643","-","CALIFORNIA",,"20223105659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","32","Campylobacteriosis","128","-","235","-","5,146","-","4,804","-","CALIFORNIA",,"20223201039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","32","Coccidioidomycosis","49","-","229","-","3,871","-","5,169","-","CALIFORNIA",,"20223201459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","32","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20223204049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","32","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20223204119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","32","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","35","-","100","-","1,662","-","1,730","-","CALIFORNIA",,"20223205659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","33","Campylobacteriosis","157","-","235","-","5,343","-","5,001","-","CALIFORNIA",,"20223301039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","33","Coccidioidomycosis","50","-","229","-","4,059","-","5,347","-","CALIFORNIA",,"20223301459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","33","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20223304049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","33","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20223304119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","33","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","39","-","100","-","1,762","-","1,799","-","CALIFORNIA",,"20223305659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","34","Campylobacteriosis","111","-","236","-","5,488","-","5,152","-","CALIFORNIA",,"20223401039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","34","Coccidioidomycosis","47","-","229","-","4,185","-","5,499","-","CALIFORNIA",,"20223401459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","34","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20223404049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","34","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20223404119","POINT (-119.662127 37.211164)"
